SD1;SD2;time;flow
103,0927835;98,52216749;0;-3,42
98,52216749;86,95652174;0,01;-1,49
86,95652174;90,90909091;0,02;0,74
90,90909091;86,83068017;0,03;2,8
86,83068017;103,2702238;0,04;4,17
103,2702238;109,2896175;0,05;4,91
109,2896175;100,1669449;0,06;5,29
100,1669449;94,63722397;0,07;5,29
94,63722397;94,04388715;0,08;5,51
94,04388715;93,60374415;0,09;5,37
93,60374415;96,93053312;0,1;5,27
96,93053312;91,88361409;0,11;5,15
91,88361409;92,02453988;0,12;5,11
92,02453988;94,04388715;0,13;4,95
94,04388715;102,3890785;0,14;4,91
102,3890785;94,48818898;0,15;4,76
94,48818898;98,68421053;0,16;4,74
98,68421053;108,4990958;0,17;4,7
108,4990958;98,52216749;0,18;4,71
98,52216749;113,2075472;0,19;4,68
113,2075472;100,8403361;0,2;4,95
100,8403361;100,5025126;0,21;4,94
100,5025126;90,63444109;0,22;4,93
90,63444109;118,1102362;0,23;4,76
118,1102362;104,1666667;0,24;4,84
104,1666667;100,8403361;0,25;4,66
100,8403361;91,04704097;0,26;4,78
91,04704097;90,77155825;0,27;4,86
90,77155825;82,53094911;0,28;5
82,53094911;80,75370121;0,29;4,78
80,75370121;92,59259259;0,3;4,66
92,59259259;107,1428571;0,31;4,38
107,1428571;98,36065574;0,32;4,52
98,36065574;109,6892139;0,33;4,63
109,6892139;98,36065574;0,34;4,53
98,36065574;98,84678748;0,35;4,16
98,84678748;105,0788091;0,36;3,95
105,0788091;102,915952;0,37;3,82
102,915952;115,6069364;0,38;3,94
115,6069364;98,03921569;0,39;4,01
98,03921569;99,33774834;0,4;4,15
99,33774834;89,28571429;0,41;3,96
89,28571429;108,3032491;0,42;3,83
108,3032491;94,04388715;0,43;3,49
94,04388715;95,6937799;0,44;3,11
95,6937799;99,50248756;0,45;2,42
99,50248756;93,3125972;0,46;2,1
93,3125972;89,82035928;0,47;1,53
89,82035928;97,08737864;0,48;1,08
97,08737864;107,9136691;0,49;0,42
107,9136691;94,33962264;0,5;0,11
94,33962264;94,19152276;0,51;-0,25
94,19152276;106,3829787;0,52;-0,54
106,3829787;96;0,53;-1,15
96;109,2896175;0,54;-1,62
109,2896175;93,02325581;0,55;-2,43
93,02325581;110,701107;0,56;-2,93
110,701107;86,70520231;0,57;-3,64
86,70520231;91,04704097;0,58;-4,23
91,04704097;108,1081081;0,59;-4,96
108,1081081;95,6937799;0,6;-5,47
95,6937799;94,04388715;0,61;-6,05
94,04388715;115,1631478;0,62;-6,47
115,1631478;95,38950715;0,63;-7,06
95,38950715;112,7819549;0,64;-7,39
112,7819549;95,54140127;0,65;-7,85
95,54140127;97,87928222;0,66;-7,9
97,87928222;108,3032491;0,67;-7,97
108,3032491;94,63722397;0,68;-7,36
94,63722397;97,56097561;0,69;-6,45
97,56097561;99,50248756;0,7;-4,94
99,50248756;88,23529412;0,71;-3,41
88,23529412;101,6949153;0,72;-1,28
101,6949153;97,87928222;0,73;0,82
97,87928222;86,33093525;0,74;2,88
86,33093525;96,15384615;0,75;4,16
96,15384615;101,3513514;0,76;5,16
101,3513514;90,90909091;0,77;5,47
90,90909091;109,4890511;0,78;5,74
109,4890511;96;0,79;5,86
96;108,6956522;0,8;6,06
108,6956522;95,38950715;0,81;6
95,38950715;102,2146508;0,82;5,95
102,2146508;101,8675722;0,83;5,48
101,8675722;87,97653959;0,84;5,42
87,97653959;107,3345259;0,85;5,27
107,3345259;96;0,86;5,23
96;93,89671362;0,87;4,89
93,89671362;120,9677419;0,88;4,65
120,9677419;121,2121212;0,89;4,39
121,2121212;106,9518717;0,9;4,53
106,9518717;106,5719361;0,91;4,47
106,5719361;117,6470588;0,92;4,52
117,6470588;97,4025974;0,93;4,37
97,4025974;108,6956522;0,94;4,52
108,6956522;93,16770186;0,95;4,41
93,16770186;110,0917431;0,96;4,45
110,0917431;94,63722397;0,97;4,41
94,63722397;106,7615658;0,98;4,57
106,7615658;95,23809524;0,99;4,41
95,23809524;115,8301158;1;4,43
115,8301158;89,95502249;1,01;4,41
89,95502249;90,90909091;1,02;4,69
90,90909091;112,1495327;1,03;4,64
112,1495327;91,74311927;1,04;4,61
91,74311927;113,2075472;1,05;4,41
113,2075472;94,48818898;1,06;4,46
94,48818898;114,9425287;1,07;4,39
114,9425287;95,84664537;1,08;4,46
95,84664537;111,1111111;1,09;4,42
111,1111111;106,7615658;1,1;4,56
106,7615658;146,3414634;1,11;4,33
146,3414634;118,8118812;1,12;4,51
118,8118812;110,9057301;1,13;4,29
110,9057301;123,7113402;1,14;4,31
123,7113402;126,8498943;1,15;4,14
126,8498943;119,2842942;1,16;4,25
119,2842942;96,3081862;1,17;4,03
